Parliamentary constituency name,Parliamentary constituency code,Proportion of usual resident population 65 years and over1,State Pension claimant rate2,General good health rate3,Proportion of the population identified as non-white4,Median house price (£)5,Employment rate aged 16-646,Unemployment rate aged 16 years plus7,Families receiving child or working tax credit as a percentage of households8,Median personal income (£)9,Number of  businesses per 10000 residents10
Mid Sussex,E14000817,18.9,20.4,85.9,5.4,"250,000",83.5,2.9,12.3,22600,444.8
Mid Worcestershire,E14000818,21.9,23.8,81.9,2.4,"190,000",76.7,5.5,18,20600,468.5
Middlesbrough,E14000819,14.2,15.6,77.5,15.6,"87,000",58.1,16.4,33.2,18000,198.9
Middlesbrough South and East Cleveland,E14000820,20.3,22.3,78.2,2.5,"134,950",72.3,5.6,23.1,20800,191.8
Milton Keynes North,E14000821,12.1,13.8,85.4,20,"187,000",72.4,8.5,20.5,22200,418.5
Milton Keynes South,E14000822,12.1,13.3,84.7,19.9,"185,000",77.5,5.1,24,23600,360.5
Mitcham and Morden,E14000823,11,11.9,83.3,46.3,"250,000",72,10.4,28.6,21500,287.1
Mole Valley,E14000824,22,23.1,85.6,4.4,"390,000",73.2,:,8.5,28300,636.5
Morecambe and Lunesdale,E14000825,22.4,24.3,77.9,2,"129,000",70.8,:,27,19000,271.2
Morley and Outwood,E14000826,16.6,18.6,81.8,4.6,"131,000",74.8,6.9,22,21200,264.3
New Forest East,E14000827,22.7,24.1,82.5,2.6,"223,000",76.4,:,16.7,22700,351.2
New Forest West,E14000828,31.1,32.3,79.4,2.2,"265,000",79.2,3.5,13.7,20700,475.7
Newark,E14000829,20.9,23,81.3,3.1,"160,000",74.7,3.5,16.9,21700,427.6
Newbury,E14000830,16.6,18.2,86,4.4,"249,950",82,3.6,13.3,25500,555.6
Newcastle upon Tyne Central,E14000831,12.3,13.2,79.1,25.8,"124,500",61.9,12.4,28.3,19800,264
Newcastle upon Tyne East,E14000832,11.6,12.5,81.6,11.3,"136,000",54.8,11.8,14.2,21300,240.5
Newcastle upon Tyne North,E14000833,19.2,21,78,6.2,"149,950",74.2,5.7,20.1,21500,191.7
Newcastle-under-Lyme,E14000834,18.4,20.1,79.2,6.2,"125,000",70.4,7.3,17.7,18700,240.4
Newton Abbot,E14000835,25.1,27.3,79,1.8,"190,000",77.1,6.3,23.2,19700,335.2
Normanton Pontefract and Castleford,E14000836,17.6,19.2,75.5,2.5,"115,000",70.3,9,26.3,18200,208.4
North Cornwall,E14000837,24.4,25.7,78.5,1.6,"210,000",72.3,5.7,27.9,18500,531.3
North Devon,E14000838,23.9,26,80.2,2.1,"191,250",72.5,3.2,23.5,18400,487.6
North Dorset,E14000839,23.5,25.8,83.2,2.1,"227,950",83,3.8,17.5,20900,484.1
North Durham,E14000840,19.5,21.3,75.9,1.4,"105,000",67,9.1,20.9,20100,186.4
North East Bedfordshire,E14000841,17.5,19.2,84.8,5.9,"215,000",84.2,4.5,12.7,23000,429.7
North East Cambridgeshire,E14000842,21,22.8,78,2.8,"137,250",76.6,5.8,22.6,19500,334.9
North East Derbyshire,E14000843,22.5,24.7,77.4,1.9,"145,000",80.6,3.8,18.6,18900,300.3
North East Hampshire,E14000844,18.2,19.6,88.2,4.5,"315,000",80.7,:,8.5,26800,528.3
North East Hertfordshire,E14000845,19,20.6,84.2,7.4,"240,000",79.1,5.3,14.2,24700,468.7
North East Somerset,E14000846,21.5,23.5,83.2,2.4,"207,000",76.4,5.6,17.9,22000,411.6
North Herefordshire,E14000847,25.1,27.3,80.9,1.4,"210,000",75.9,2.6,18.3,20700,599.5
North Norfolk,E14000848,31.6,33.5,76.3,1.3,"185,000",73.6,:,22.9,18100,387
North Shropshire,E14000849,20.9,23,81.4,1.8,"162,800",74.6,5.5,18.1,20100,447.4
North Somerset,E14000850,22.9,25,83.8,2.3,"225,000",77.9,2.7,12.6,24500,442.8
North Swindon,E14000851,15.1,16.6,83.8,6.9,"157,500",75.5,5.3,22.9,20800,262.2
North Thanet,E14000852,23.1,25.2,76.4,3.5,"173,000",68.3,7.2,26.2,18200,247.8
North Tyneside,E14000853,17.6,19.5,77,3.4,"118,250",74.2,6.1,25.1,19100,184.3
North Warwickshire,E14000854,19.5,21.5,79,5.1,"132,750",72.6,5,21.1,19600,345.1
North West Cambridgeshire,E14000855,15.7,17.4,83.9,6.3,"162,000",79.2,5,25.4,22300,369.9
North West Durham,E14000856,19.9,21.8,76.3,1.1,"104,000",68.1,6.8,28.5,20100,256.8
North West Hampshire,E14000857,18.8,20.3,84.6,3.3,"223,000",82.9,:,15.2,22100,427.5
North West Leicestershire,E14000858,18.9,20.8,81,2.4,"159,000",71.8,3.7,21.8,22100,398.1
North West Norfolk,E14000859,24.8,26.5,77.8,3.1,"157,000",69.4,4.9,25.8,18300,315.3
North Wiltshire,E14000860,19.2,21.1,84.9,3.2,"215,000",71.9,7.2,15.4,23800,545.4
Northampton North,E14000861,16.1,17.9,81.4,14.8,"135,000",72,3.9,23.9,19700,277.4
Northampton South,E14000862,13.2,14.8,82.3,17.6,"133,500",74.6,6.7,25.7,20200,347.8
Norwich North,E14000863,20,21.5,79.9,4.6,"150,000",72.6,6.2,18.6,18800,236.8
Norwich South,E14000864,15.8,17.1,80.5,10,"158,000",66.7,5.2,16.5,20300,327.3
Nottingham East,E14000865,9.7,10.4,80.5,35.2,"92,250",69.5,12,25.4,17900,268.1
Nottingham North,E14000866,14.1,15.2,76.2,20.3,"84,000",64.2,14.3,35.6,16600,135.1
Nottingham South,E14000867,11.7,12.4,82.7,29.6,"125,000",56.1,8.7,21.3,18900,291.8
Nuneaton,E14000868,16.8,18.8,80.3,8.1,"135,000",70,6,27.5,19900,255.1
Old Bexley and Sidcup,E14000869,19.2,20.5,83,11,"249,500",72.1,5.8,17.4,24000,320.8
Oldham East and Saddleworth,E14000870,15.7,17.3,79.2,18.6,"118,000",64.7,9.9,32.7,18600,273.6
Oldham West and Royton,E14000871,14.6,16,77.9,29.9,"104,500",62.5,9.6,35.2,17500,209.8
Orpington,E14000872,20.7,22.7,83.9,10,"290,000",76.2,3.4,14.6,26500,372.1
Oxford East,E14000873,10.5,10.9,86.3,24.1,"250,000",77.4,3.3,14.1,22100,240.5
Oxford West and Abingdon,E14000874,17.7,18.6,86.7,10,"285,000",72.6,2.4,10.5,25500,364.4
Pendle,E14000875,17.2,18.8,78,20.1,"85,000",56.9,13.7,31.7,18600,277.4
Penistone and Stocksbridge,E14000876,21.7,24,79.3,2.3,"135,000",81.2,4.5,15,20100,282
Penrith and The Border,E14000877,23.5,25.2,81.5,1,"170,000",81.4,3.9,17,19700,653.7
Peterborough,E14000878,14.4,15.6,80.4,22.6,"125,000",71.6,8,43,17400,268.5
Plymouth Moor View,E14000879,18.9,20.7,76.8,2.5,"131,500",71.4,7.3,26.8,17900,137.5
Plymouth Sutton and Devonport,E14000880,13,14,80.8,6.1,"140,000",67.9,7.8,23.7,19300,261.2
Poole,E14000881,21.9,23.7,80.9,4.4,"221,500",72.9,5.4,21.2,21400,386.3
Poplar and Limehouse,E14000882,5.5,5.6,84.2,56.5,"321,500",70.3,8.2,26.7,27500,427
Portsmouth North,E14000883,15.8,17.2,82,7,"160,000",78.3,4.8,22.1,20300,251.7
Portsmouth South,E14000884,12.3,13.1,83,15.9,"147,500",61.9,9.8,19.4,20500,215.3
Preston,E14000885,11.6,12.5,79.1,23.7,"92,000",60.4,12.5,30.6,16900,290.1
Pudsey,E14000886,18,20,83.6,6.7,"167,000",79.5,6.8,11.8,21500,330.9
Putney,E14000887,10.6,10.8,87.1,24.7,"454,500",74.8,5.6,15.5,28800,446.9
Rayleigh and Wickford,E14000888,21.4,23.4,83,3.3,"220,500",77.4,5.7,14.8,22000,382.6
Reading East,E14000889,12.3,13.3,87,24.4,"232,500",73.2,3.9,14.7,23400,409.2
Reading West,E14000890,14.3,15.8,84.2,19.1,"200,000",80.2,4.5,21.5,23000,326.1
Redcar,E14000891,20.2,22.2,75.9,1.6,"115,000",68,8.9,30.4,19300,187.6
Redditch,E14000892,16.2,18.5,81.8,7.6,"156,000",77,2.1,25.7,19300,319.4
Reigate,E14000893,17.3,18.2,85.6,10,"285,000",76.3,4.8,11.3,27300,458.8
Ribble Valley,E14000894,20.6,22.8,82.9,2.4,"157,500",71,4.7,16.2,21500,466.4
Richmond (Yorks),E14000895,21.2,22.9,83.7,3.1,"189,950",73.2,5.4,14.8,20400,494.8
Richmond Park,E14000896,13.9,14.2,88.4,18.4,"545,000",76.3,4.3,9,34300,580.5
Rochdale,E14000897,14.1,15.5,77.4,28.5,"110,000",60.7,11.4,37.5,18300,245.9
Rochester and Strood,E14000898,15.5,17.2,82.2,9.6,"172,000",73.3,7.5,21.7,21400,334.2
Rochford and Southend East,E14000899,17.4,18.8,79.2,8.7,"175,000",65.3,10.1,30.2,21300,353.7
Romford,E14000900,17,18.5,82.6,13.5,"227,500",79.8,5.4,24.6,23400,321.7
Romsey and Southampton North,E14000901,19.7,21.1,85.2,9.6,"250,000",68.1,4.6,12.4,23900,404.9
Rossendale and Darwen,E14000902,16.5,18.5,79.9,4.3,"112,000",70,8.8,24.1,19300,311.1
Rother Valley,E14000903,20.3,22.4,78.5,3,"130,000",73.9,5.2,21.1,20100,238.2
Rotherham,E14000904,16.4,17.5,76.3,13.4,"110,000",58.4,12.9,31.3,18100,209.2
Rugby,E14000905,18.5,20,82.4,9.7,"162,000",79.9,3.8,22.5,22400,365.3
Ruislip Northwood and Pinner,E14000906,19.8,20.5,84.4,29.6,"385,000",81.9,4.3,12.7,28000,510.3
Runnymede and Weybridge,E14000907,17.3,18.1,86.1,11,"312,000",75.8,4.5,9.7,27300,527.9
Rushcliffe,E14000908,19.7,21.3,84.7,7.5,"207,500",77.9,3.1,11.6,25600,384.4
Rutland and Melton,E14000909,21.4,23.5,84.3,3.5,"186,000",77.8,4.4,15,22600,469.3
Saffron Walden,E14000910,19.2,20.8,85.4,3.6,"290,000",81.2,:,12.2,26300,554.4
Salford and Eccles,E14000911,13.6,14.6,78.4,11.9,"108,750",69.9,9.6,22.6,18100,321.6
Salisbury,E14000912,21.1,22.8,82.9,3.3,"220,000",85.8,:,15.9,22400,424.2
Scarborough and Whitby,E14000913,23.9,25.8,77.7,2.7,"140,000",66.3,8.1,26.4,19200,353.6
Scunthorpe,E14000914,17.5,19.3,79.4,6.1,"105,000",74.7,4.2,30.7,19500,221.4
Sedgefield,E14000915,19.9,21.9,75.9,1.4,"109,000",70.7,9.8,22.4,19300,265.1
Sefton Central,E14000916,25.9,27.6,80.3,1.9,"167,750",77.7,3.8,14.1,21600,240.3
Selby and Ainsty,E14000917,18.8,20.8,83.2,1.9,"170,000",73.9,5.3,14.4,21400,430.4
Sevenoaks,E14000918,19.8,21.2,84.7,4.5,"287,500",70.9,:,15,24800,514.1
Sheffield Central,E14000919,8.7,9.1,84.7,28,"125,000",57.6,19.2,15.8,20400,335.2
Sheffield South East,E14000920,18.2,19.8,77.3,14.7,"110,000",72.5,6.8,28.1,19300,221.2
Sheffield Brightside and Hillsborough,E14000921,14.3,15.2,76.7,24.7,"90,000",69.1,11.8,33.7,17000,200.1
Sheffield Hallam,E14000922,20,21.6,85.2,7.7,"219,000",78.4,3.9,8.2,25300,269.9
Sheffield Heeley,E14000923,18.3,19.5,76.9,10.1,"120,000",71.2,9.5,22.9,18500,152.2
Sherwood,E14000924,19.6,21.8,77.9,2.5,"127,000",69.1,11,22.3,19200,271.2
Shipley,E14000925,19.2,21.1,82.8,7.5,"148,250",75.6,6.5,16.5,21600,307.7
Shrewsbury and Atcham,E14000926,20.4,22.2,82,2.8,"167,000",76.6,4.3,19.4,21600,411.7
Sittingbourne and Sheppey,E14000927,17.5,19.3,79.8,3.8,"160,000",78.2,5,24.9,21300,274.4
Skipton and Ripon,E14000928,23.7,25.6,83.2,2.5,"184,100",82,:,17.7,22200,610.2
Sleaford and North Hykeham,E14000929,23.1,25.1,81,1.7,"149,000",77.9,3.8,18.6,21100,438.2
Slough,E14000930,9.4,9.8,83.8,54.9,"210,000",70.2,8.8,29.7,21500,296.6
Solihull,E14000931,21.5,23.1,82,13.8,"202,000",73.4,3.5,16.7,22900,314.9
Somerton and Frome,E14000932,22.8,25.3,82.3,1.6,"190,000",75.7,4.5,17.8,21000,522.3
South Basildon and East Thurrock,E14000933,16.7,18.6,80.9,7.1,"170,000",76.5,5,19.7,23000,278.4
South Cambridgeshire,E14000934,18.1,19.5,86.3,7.1,"250,000",79.5,4.8,10.4,25400,485
South Derbyshire,E14000935,16.8,18.7,82,4.3,"147,500",81.7,2.6,19,21200,327.6
South Dorset,E14000936,24,26.2,79.6,2.3,"203,000",77.5,7.8,22.6,19500,308.1
South East Cambridgeshire,E14000937,18.2,19.6,85.1,5.6,"227,000",78.8,4.2,14.6,22900,451
South East Cornwall,E14000938,23.9,27.1,79.3,1.4,"175,000",77.4,4.2,20.3,18800,396.3
South Holland and The Deepings,E14000939,23.2,24.9,78.8,2.1,"140,000",78,2.6,24.7,18500,386
South Leicestershire,E14000940,18.3,20.4,84,6.7,"160,000",80.1,5.8,16.2,20600,451.3
South Norfolk,E14000941,23.1,25,82.3,2.4,"182,500",74.8,7.5,14.6,21300,397.5
South Northamptonshire,E14000942,16.4,18.2,86.6,5.5,"210,000",82,2.5,13.1,24300,513.4
South Ribble,E14000943,20.3,22.3,81.5,2.8,"155,000",73.4,8.3,21.4,21000,348.6
South Shields,E14000944,19,20.7,75.2,5.4,"110,000",66.2,11.3,25.8,18400,171
South Staffordshire,E14000945,21.9,23.9,80.6,4.4,"171,250",72.6,4.2,16.5,20700,319.6
South Suffolk,E14000946,24.1,26.4,82.4,2.1,"195,000",71.1,6.7,16.3,21700,439.3
South Swindon,E14000947,14.2,15.4,83.1,13.6,"155,000",78.3,4.6,22.5,20400,304.6
South Thanet,E14000948,22.4,24.1,76.8,4.4,"167,000",62.9,5.2,30,18300,260
South West Bedfordshire,E14000949,16.5,18.2,83.8,7.5,"180,000",81,2.5,21.6,23300,361.3
South West Devon,E14000950,22.8,24.7,82.4,1.5,"179,000",80.9,3.1,16.4,21200,304.6
South West Hertfordshire,E14000951,17.9,19.2,85.8,10.4,"354,000",81.8,:,11.9,27500,553.8
South West Norfolk,E14000952,22.4,24.2,79.1,2.8,"154,000",79.2,4.1,23.1,18800,344.5
South West Surrey,E14000953,20.1,21.2,86.3,4.2,"335,000",71.1,6.3,10.7,28600,613.5
South West Wiltshire,E14000954,20.9,22.9,82.2,3.2,"175,000",81,3.7,21,20200,377.1
Southampton Itchen,E14000955,14.6,15.6,81.6,9.2,"160,000",76,5.4,20.7,20100,227.2
Southampton Test,E14000956,11.8,12.8,82.9,16.9,"155,569",65.7,9.9,23.2,19500,238.4
Southend West,E14000957,20.2,21.6,81.3,7.2,"197,000",77.1,5.2,17.5,23100,341.7
Southport,E14000958,24.4,25.5,77.7,3.4,"140,000",71.7,6.6,25.9,19300,291
Spelthorne,E14000959,18.1,19.4,83.9,12.7,"265,000",71.8,6.2,13.7,23900,450.5
St Albans,E14000960,15.3,16.5,86.3,14,"335,000",80.4,3.5,11.5,27700,534.5
St Austell and Newquay,E14000961,22.3,23.5,78.1,1.7,"168,000",69,6.4,28.5,16500,319.2
St Helens North,E14000962,19,21.2,76.9,1.6,"115,000",66.8,8.8,24,20000,189.4
St Helens South and Whiston,E14000963,19.1,20.8,76.7,2.6,"110,000",67.2,10.7,26.7,19700,223.8
St Ives,E14000964,24.9,26.7,78,1.8,"209,000",75.8,3.2,27,18400,410.5
Stafford,E14000965,19.6,21.5,81.8,6,"155,000",76.5,3.5,18.8,21700,319.8
Staffordshire Moorlands,E14000966,23,25.4,79.2,1.3,"138,000",78.1,:,16.8,20300,397.9
Stalybridge and Hyde,E14000967,16.5,18.5,78.6,7,"120,000",70,6,26.2,20600,258.7
Stevenage,E14000968,15.6,16.8,82.9,11.5,"177,000",76,5,22,22300,324.7
Stockport,E14000969,14.4,15.7,79.9,9.3,"135,000",74.7,8.5,24.5,20800,343.2
Stockton North,E14000970,17.1,18.5,77.3,4,"109,973",68.3,10.7,34.4,17900,222.2
Stockton South,E14000971,16.4,18.2,82.3,6.6,"142,000",72.3,8.1,19.5,21500,257.1
Stoke-on-Trent Central,E14000972,14.9,16.7,77.3,14.8,"80,000",62.1,8.6,28.3,16500,232.1
Stoke-on-Trent North,E14000973,17.1,18.9,76.1,10,"92,000",68.8,8.5,34.1,18000,201.2
Stoke-on-Trent South,E14000974,17.7,19.8,76.7,7.5,"103,250",72.9,5.2,31.1,19100,185.6
Stone,E14000975,23.4,25.6,81.1,2,"165,000",65.6,4.1,14.4,21100,435.7
Stourbridge,E14000976,19.4,21.6,79.6,8.1,"142,500",75.2,6.2,22.1,21000,294.9
Stratford-on-Avon,E14000977,24.9,26.8,82.8,2.9,"249,950",77.9,1.9,15.7,22700,628.8
Streatham,E14000978,7.9,8.3,85.5,41.8,"335,000",80.7,6.6,21.6,26400,297.1
Stretford and Urmston,E14000979,15.4,16.9,79.9,20.7,"152,500",70.3,7.1,29.5,19800,414.1
Stroud,E14000980,20.4,22.7,82.9,2.1,"190,000",80.2,:,15.7,21600,476.5
Suffolk Coastal,E14000981,27.5,29.5,80.3,2.9,"203,000",72.7,5.9,16.5,20200,418.3
Sunderland Central,E14000982,18,19.7,75.8,8,"112,000",63.1,11.2,22.9,18800,213.3
Surrey Heath,E14000983,18,19.2,86.3,8.9,"278,000",75.6,6.8,12,26900,460.7
Sutton and Cheam,E14000984,16.2,16.9,84.8,21.4,"255,500",83,3.4,15.7,25500,378.1
Sutton Coldfield,E14000985,21.2,23.2,83.4,11.3,"215,000",75.8,6.9,13.2,24600,356.5
Tamworth,E14000986,17.7,19.6,81.1,3.3,"147,500",73.7,6.8,23,22000,332.2
Tatton,E14000987,22,23.6,83.1,4.5,"240,000",77.8,3.6,13.2,24000,636.6
Taunton Deane,E14000988,21.2,23.2,81.6,2.8,"180,500",79.7,4.3,24,21000,380.4
Telford,E14000989,14.4,16.6,79.6,6.5,"130,250",75.9,4.6,33.3,18100,246.7
Tewkesbury,E14000990,21.3,23.2,83.2,3,"193,000",80.5,5.3,14.6,20800,389.5
The Cotswolds,E14000991,24,25.8,83.7,2.1,"270,000",79,2.8,12.1,25400,637.5
The Wrekin,E14000992,18,20,81.2,7.4,"158,000",72.3,5.6,21.5,21500,284.5
Thirsk and Malton,E14000993,24.9,26.9,81.1,1.4,"180,000",81.4,2.9,18.1,20200,601.7
Thornbury and Yate,E14000994,20.6,22.7,84.1,2.4,"212,000",80.2,2.5,15.9,22100,438.8
Thurrock,E14000995,11.7,13,83,17.5,"168,000",73.5,6.8,26.5,20400,273.2
Tiverton and Honiton,E14000996,26.3,28.3,80.4,1.5,"190,000",70.5,7.4,22.4,18700,507.6
Tonbridge and Malling,E14000997,18.6,20.1,84.7,4.1,"274,225",81.2,5.4,16.2,25800,461.7
Tooting,E14000998,8.8,9.3,86.6,34.1,"414,000",83.2,2.2,17,30200,405.3
Torbay,E14000999,23.8,25.7,76.5,2.8,"156,000",71.8,5.9,28.3,16700,270.2
Torridge and West Devon,E14001000,25.3,28,79.1,1.4,"180,000",73.5,7.2,24,19200,506.3
Totnes,E14001001,28.2,30.1,78.2,1.6,"225,000",68.8,8.6,25.7,19000,479.9
Tottenham,E14001002,8.2,8.7,81.1,49.9,"261,750",66,9.4,42.7,19500,267.3
Truro and Falmouth,E14001003,21.9,24.5,81.4,2.5,"215,000",77.3,3.8,21,19400,435.8
Tunbridge Wells,E14001004,17.7,18.7,85.1,5.2,"250,000",76,:,14.6,25600,489.3
Twickenham,E14001005,14.1,14.9,87.4,14.3,"417,500",76.8,5.7,9.6,31500,548.7
Tynemouth,E14001006,19.9,21.8,79.4,3.4,"163,000",72.2,5.9,20.6,21100,233.1
Uxbridge and South Ruislip,E14001007,12.8,13.4,84.8,30.2,"274,000",70.9,7.5,17.4,24500,367
Vauxhall,E14001008,7.4,7.9,84.9,41.6,"407,500",79.7,6.5,22.7,26200,787.2
Wakefield,E14001009,17.3,18.8,78.8,8.3,"124,950",65.5,9,23.3,19500,317.4
Wallasey,E14001010,17.9,19.5,77,2.8,"115,000",69.2,6,31.3,18000,177.1
Walsall North,E14001011,16.2,17.6,75.9,13.7,"105,000",62.4,10.7,37.3,17300,195.1
Walsall South,E14001012,15.1,16.1,77.7,39.3,"120,823",56.3,14.7,36.1,18600,232.8
Walthamstow,E14001013,8.3,8.6,83,53.5,"250,000",69.1,10.1,31.8,21600,291.8
Wansbeck,E14001014,20.4,22.4,75.6,1.6,"111,450",72.6,4.5,23.7,20000,203.3
Wantage,E14001015,17.7,18.8,85.6,4,"247,500",80,2.4,14.2,25300,439.5
Warley,E14001016,14,14.8,77.4,42.6,"113,973",64.4,10.5,36.3,18400,204.9
Warrington North,E14001017,17,18.8,80.8,3.5,"125,000",76.9,4.5,23,20500,297.9
Warrington South,E14001018,17.2,18.7,84.2,4.6,"169,998",80,3.7,17.2,23200,357.2
Warwick and Leamington,E14001019,15.6,17.2,84.2,12.7,"209,000",78.8,3.6,14.2,23500,448.3
Washington and Sunderland West,E14001020,16.7,19.1,76.2,2,"108,000",66,10.5,29.8,18500,155
Watford,E14001021,13.8,15,84.8,24.9,"245,000",79.5,7.7,15.8,23300,398
Waveney,E14001022,24.4,26.4,77.4,2.4,"138,000",66,9.4,24.4,17400,282.2
Wealden,E14001023,22.5,24.3,83.9,2.7,"250,000",83.1,1.8,16.8,22700,516.9
Weaver Vale,E14001024,17.5,19.6,81.1,2.4,"150,000",70.3,3.9,19.7,21500,342.6
Wellingborough,E14001025,17.7,19.5,80.9,10.4,"134,000",77.4,6.1,24.5,19600,337.5
Wells,E14001026,23.2,25.5,80.1,2,"181,500",71,5.3,20.9,19900,465.1
Welwyn Hatfield,E14001027,15.3,16.2,84.8,16.3,"245,000",74.6,3.1,17,23500,361.1
Wentworth and Dearne,E14001028,18,19.8,74.8,2.1,"115,000",73.1,8.9,28.8,18100,194.5
West Bromwich East,E14001029,16.6,17.9,76.4,31.9,"120,000",61.9,11.1,38.9,18400,208.2
West Bromwich West,E14001030,14.5,15.7,76.5,23.2,"100,000",68.6,9.4,34.2,18700,225.5
West Dorset,E14001031,28.2,30.7,80.2,2,"235,000",75.4,4.8,19.4,21100,514.3
West Ham,E14001032,7,7.3,83,65.5,"230,000",62.2,11.9,47.9,19100,230.1
West Lancashire,E14001033,19.8,21.8,80.3,2,"160,000",65.7,6.2,21.7,19900,328.7
West Suffolk,E14001034,17.9,19,83.2,6.2,"165,000",76.5,5.9,14.9,20800,361
West Worcestershire,E14001035,26.2,28.2,80.8,2.1,"210,000",79.7,3.2,15.8,22500,529.9
Westminster North,E14001036,11,9.9,82.3,43.7,"615,000",66.9,6.1,11.9,32700,442
Westmorland and Lonsdale,E14001037,26.4,27.8,82.2,1.7,"206,000",74,4,15.8,20400,588.3
Weston-Super-Mare,E14001038,22,24,78.5,3.1,"165,000",72.1,7,23,20700,305.5
Wigan,E14001039,17.8,19.6,77.4,2.9,"115,000",73.8,9.8,27.6,19000,256.1
Wimbledon,E14001040,13,13.5,88.1,23.1,"461,500",80.6,2.1,8,32100,627.8
Winchester,E14001041,20.6,21.6,85.8,5.6,"315,000",86.7,:,11.5,26300,457.1
Windsor,E14001042,16.1,17.1,87.5,13.1,"339,475",81,3.5,10.6,27700,583.1
Wirral South,E14001043,23.6,25.2,81,2.2,"157,500",70.8,5,18.6,21300,272.5
Wirral West,E14001044,24.2,26.1,79.7,2.7,"168,000",75.2,8.2,17.5,21800,269
Witham,E14001045,20.2,22.3,83,3,"210,000",72.6,6.9,17.6,24100,421.6
Witney,E14001046,19.4,20.7,85.3,3.2,"245,000",81.6,2.2,14.1,23100,492.2
Woking,E14001047,15.9,16.8,86.5,15.8,"272,750",77.8,5.5,13,26100,441.8
Wokingham,E14001048,15.3,16.7,88.1,11.4,"277,500",79,2.9,10.4,28400,464.4
Wolverhampton North East,E14001049,15.8,17.2,76.9,23.7,"106,000",62.7,10.2,35.6,17200,165.5
Wolverhampton South East,E14001050,16.4,17.6,75.6,33.4,"105,000",62.7,15.2,34.9,17200,236.2
Wolverhampton South West,E14001051,18.2,19.4,78.9,35.5,"145,000",64.7,12.2,24.6,20300,287.5
Worcester,E14001052,15.6,17.4,82.4,6.6,"163,000",78.4,5.9,20.6,20400,273.4
Workington,E14001053,21.7,23.7,78.2,1,"131,750",74.2,5.5,21.8,19100,392.5
Worsley and Eccles South,E14001054,16.3,17.8,78.4,5.9,"120,000",69.5,8.1,26.9,19100,238.6
Worthing West,E14001055,27.9,29.5,78.2,4.9,"210,000",77.9,5.8,21,21100,316.3
Wycombe,E14001056,13.9,14.9,85.7,26.7,"247,750",76.8,6,19.2,24000,416.8
Wyre and Preston North,E14001057,24.2,26.5,81.3,6.5,"165,000",76.5,2.9,12.2,21800,411
Wyre Forest,E14001058,22.7,25.3,78.8,2.8,"150,000",72.6,4.8,24.1,18100,324.6
Wythenshawe and Sale East,E14001059,14.2,15.6,78.7,12.9,"142,000",74.7,4.7,26.7,19200,237
Yeovil,E14001060,22.2,24.1,81.1,2.2,"165,000",81.3,4.3,21,19600,338
York Central,E14001061,13.4,14.4,83.9,7.3,"167,000",71.1,6.5,15,19100,267.6
York Outer,E14001062,22.4,24.3,83.9,4,"200,000",76.9,2,13.2,21400,354
Aberdeen North,S14000001,13.3,14.3,84,9.8,:,74.5,6.3,16,21800,259.9
Aberdeen South,S14000002,15.2,16.1,87.1,7.4,:,78.7,5,8,26100,495.3
Airdrie and Shotts,S14000003,15.6,17.1,78.4,1.6,:,70,9.5,23.4,19400,187.4
Angus,S14000004,21,22.5,83.4,1.1,:,74.2,6.4,19.8,20900,339.5
Argyll and Bute,S14000005,23.4,25.2,82.3,1.2,:,76.4,5,20.2,19200,418.5
Ayr Carrick and Cumnock,S14000006,21.8,23.6,78.9,1.1,:,69.8,9.7,23,20200,262.3
Banff and Buchan,S14000007,18.9,20.8,83.4,1,:,77.5,5.3,19.1,21800,493.7
Berwickshire Roxburgh and Selkirk,S14000008,22.8,24.9,83.5,1.3,:,77.9,2.7,18.8,19900,416.1
Caithness Sutherland and Easter Ross,S14000009,22,23.6,81.7,0.8,:,76.1,9.5,22.8,22400,497.3
Central Ayrshire,S14000010,20.6,22.3,80.6,1.3,:,74.2,6.2,21.8,22200,227
Coatbridge Chryston and Bellshill,S14000011,15.1,16.4,78.9,1.9,:,75.2,8.6,22.7,21500,189.2
Cumbernauld Kilsyth and Kirkintilloch East,S14000012,16.9,18.5,81,2.1,:,70.7,4.7,24.2,21100,195.8
Dumfries and Galloway,S14000013,23.2,25.4,80.4,1.3,:,72.4,4.9,23.3,19500,395.6
Dumfriesshire Clydesdale and Tweeddale,S14000014,22.8,24.3,82.2,1,:,72.9,4.5,19.1,21100,418.6
Dundee East,S14000015,19.5,21.1,83,3.5,:,70.5,9,23.8,20800,191.4
Dundee West,S14000016,16.7,18.1,81.9,7,:,60.7,10.5,19,18300,214.3
Dunfermline and West Fife,S14000017,16.6,18.5,83.6,2,:,81.5,3.7,19.5,22000,220.7
East Dunbartonshire,S14000018,21.8,24,85.9,5,:,75.2,4.5,11.7,25200,265
East Kilbride Strathaven and Lesmahagow,S14000019,18.4,20.3,82.4,2.3,:,75.6,2.9,18.2,21900,251.6
East Lothian,S14000020,18.8,20.6,83.9,1.7,:,75,5.3,19.9,21300,273.3
East Renfrewshire,S14000021,18.9,20.5,85.6,5.9,:,75.1,6.2,15.9,25700,253.6
Edinburgh East,S14000022,13.6,14.5,84.4,9.7,:,70.5,6.3,15,20100,305.8
Edinburgh North and Leith,S14000023,12.1,12.9,86.9,8.6,:,78.3,3.9,11.7,21600,552.7
Edinburgh South,S14000024,16,17.4,87.3,8.8,:,73.1,4.1,12.7,26700,231
