Parliamentary constituency name,Parliamentary constituency code,Proportion of usual resident population 65 years and over1,State Pension claimant rate2,General good health rate3,Proportion of the population identified as non-white4,Median house price (£)5,Employment rate aged 16-646,Unemployment rate aged 16 years plus7,Families receiving child or working tax credit as a percentage of households8,Median personal income (£)9,Number of  businesses per 10000 residents10
Cheadle,E14000627,21.8,23.4,83.3,11.1,"200,000",79.9,3,14.9,23700,403.9
Chelmsford,E14000628,16.5,18,85,7.7,"215,250",78,4.9,12.5,22500,341.1
Chelsea and Fulham,E14000629,12.7,11.4,87.3,22.7,"778,750",75.5,5.2,10.1,37300,721.3
Cheltenham,E14000630,17.1,18.5,84.4,5.8,"205,000",73.3,9.1,14.6,21700,409.5
Chesham and Amersham,E14000631,20.9,22,86.6,8.5,"375,000",79.5,4.3,11.5,28700,598.4
Chesterfield,E14000632,19.8,21.6,76.1,3.6,"125,000",76.8,6.3,24.6,19300,286.3
Chichester,E14000633,25.7,27.5,82.4,3.2,"270,000",81.2,2.7,14.9,22600,501.7
Chingford and Woodford Green,E14000634,16.4,17.1,82.2,26.4,"300,000",70.5,8.1,21.3,24600,365.1
Chippenham,E14000635,19.2,21.2,83.4,3.3,"196,995",75.3,5.8,16.2,21100,374
Chipping Barnet,E14000636,15.6,16.3,83.9,28.2,"369,950",73.2,3.8,14.4,25900,467.6
Chorley,E14000637,18.1,20.1,81.1,3.1,"145,000",75.3,4.1,19.9,20200,326.1
Christchurch,E14000638,33.8,36.1,77.8,2.2,"260,000",75.4,3.6,17.6,20400,400.6
Cities of London and Westminster,E14000639,12.5,10.2,86.4,31.5,"795,000",69,4.1,6.8,39900,"4,633.30"
City of Chester,E14000640,18.8,20.4,82.4,4.2,"177,000",73.9,4.5,16.7,21900,382.3
City of Durham,E14000641,17.4,18.8,79.9,4.5,"123,750",68.2,3.8,16.2,21400,209.5
Clacton,E14000642,31.8,34.5,70.9,2.6,"150,000",60.8,11.4,25.7,17400,236.5
Cleethorpes,E14000643,21.5,23.4,79.5,2.1,"125,000",72.1,7,21.8,20000,292.5
Colchester,E14000644,13.9,15.4,83.9,9.9,"171,000",69.7,11.2,16.1,20700,287.4
Colne Valley,E14000645,17.5,18.8,81.8,12.5,"133,200",73.7,7.9,19.3,20300,311
Congleton,E14000646,22.6,24.6,82.1,1.8,"162,000",75.1,5.2,15.3,21900,445.4
Copeland,E14000647,21.3,22.9,79,1.6,"122,498",74.7,4,20.6,21700,399.2
Corby,E14000648,16.3,18.2,82.2,3.7,"149,995",76.2,7,25.9,19900,342.9
Coventry North East,E14000649,12.9,13.9,79.5,33,"118,000",63.1,8.1,37.2,18400,197.4
Coventry North West,E14000650,16.4,17.7,80.6,18.3,"130,000",66.8,6.1,22.4,19900,196
Coventry South,E14000651,14.7,16,82,26.6,"139,950",64.3,5.7,20.3,19400,328.5
Crawley,E14000652,13,14.3,83.5,20.1,"205,000",75.9,6.9,21.6,21000,252.4
Crewe and Nantwich,E14000653,18,19.5,81.3,3.7,"136,050",68.8,4.7,23.6,19700,288.9
Croydon Central,E14000654,12.6,13.7,82.9,38.6,"225,000",71.9,9.9,24.8,23900,305
Croydon North,E14000655,10,10.9,83,64.8,"222,000",67.7,14.9,29.6,21100,249.7
Croydon South,E14000656,16.2,17.6,84.6,27.3,"285,000",83.4,2.4,19.8,26700,389.4
Dagenham and Rainham,E14000657,14.6,15.7,80.4,27.8,"199,995",70.9,10.6,27.6,21600,239.3
Darlington,E14000658,18.2,19.8,79.2,4,"113,725",71.1,9.6,28.3,19600,221.1
Dartford,E14000659,15.6,17,83.3,12.1,"205,000",86,2.8,19.8,22900,326.7
Daventry,E14000660,19.3,21.4,83.7,3.3,"192,500",77.1,3.4,14.3,22900,518.1
Denton and Reddish,E14000661,17.2,19,78.3,5.6,"114,000",74.2,8.6,25.7,18400,250.7
Derby North,E14000662,15.8,17.2,80.7,13.3,"132,250",73,6.7,22.1,19700,255.1
Derby South,E14000663,13.5,14.4,78.5,31,"112,500",71,7.1,34.3,18800,243
Derbyshire Dales,E14000664,24.6,26.9,81.8,1.5,"222,000",78.2,3.2,15.9,21300,622.1
Devizes,E14000665,17.3,18.9,85.6,4.1,"225,000",75.4,7.1,16.2,23700,411.3
Dewsbury,E14000666,16.2,17.6,80.8,21.6,"137,950",67.2,7.2,34.1,19900,300.9
Don Valley,E14000667,19.6,21.5,77.2,2.9,"120,000",71.6,9.3,22,18200,219.9
Doncaster Central,E14000668,16.3,17.9,78.7,8.8,"110,000",69.7,5.8,28.6,18500,236.4
Doncaster North,E14000669,17.8,19.5,76.8,2.3,"100,750",69,11.3,35.1,18600,205.5
Dover,E14000670,21.5,23.1,78.5,3.4,"160,000",65.6,11,22,18300,235.7
Dudley North,E14000671,18.8,20.2,76.8,14.5,"120,000",68,12.9,32.7,17800,222.6
Dudley South,E14000672,19.8,21.7,77.4,7.7,"130,000",73.9,6.3,24.9,20000,306.6
Dulwich and West Norwood,E14000673,8.8,9.4,85.2,40.6,"344,000",78.2,3.5,20.8,27400,355.9
Ealing Central and Acton,E14000674,11.2,11.2,85.6,36.7,"417,000",65.3,13,17.1,27200,602.4
Ealing North,E14000675,11.6,11.8,83.1,50.1,"285,000",72.5,5.3,30.7,21100,303
Ealing Southall,E14000676,10.9,11,82,69.6,"282,000",61.1,10.2,27.7,20800,327.3
Easington,E14000677,18.5,20.1,71.8,1.3,"80,000",66.9,13.8,25.6,18600,155.7
East Devon,E14000678,27.6,29.7,80.8,1.8,"229,995",84.7,:,16.9,20100,372.7
East Ham,E14000679,6.7,6.8,83.1,76.9,"230,000",58.2,12.4,47.5,18000,218
East Hampshire,E14000680,20.6,21.6,85.3,3.7,"276,000",73.4,3.4,13.4,23200,532.6
East Surrey,E14000681,18.9,20.2,84.9,6.5,"295,000",76.3,7.6,13.5,27100,489
East Worthing and Shoreham,E14000682,21.3,23.2,80.5,5,"217,000",70.5,6.7,17.9,20600,315.6
East Yorkshire,E14000683,25.4,27.8,77.6,1.5,"137,264",69.1,6.7,22.7,19100,405.5
Eastbourne,E14000684,24.4,25.5,78.4,5.7,"175,000",78.4,7.2,22,19500,263.6
Eastleigh,E14000685,16.7,18.2,84.3,4.9,"205,000",85.5,:,16.5,21100,336.2
Eddisbury,E14000686,21.6,23.5,81.8,1.5,"200,000",72.9,2.6,18.4,21000,507.1
Edmonton,E14000687,10.6,11.3,80.5,52.7,"229,998",63.1,6.8,39.3,20400,235.3
Ellesmere Port and Neston,E14000688,19.9,21.9,80.4,2.2,"143,000",71.7,3.9,22.9,20000,246.2
